dim1;dim2;CLU15;CLU14;CLU13;CLU12;CLU11;CLU10;CLU9;CLU8;CLU7;CLU6;CLU5;item_num;item_text
0,164850365150407;-0,642744837621983;1;1;1;1;1;1;1;1;1;1;1;1;1. Challenge the audience to question their practice
0,321645755443543;0,757217509514514;2;2;2;2;2;2;2;2;2;2;2;2;2. Cover novel therapies, techniques, and concepts
0,526312641656256;-0,179800747113242;3;3;3;3;3;3;3;3;3;3;3;3;3. Provide a forum for topics of  health and education that are relevant to this organization and to the community at large.
-0,0602632633003793;-0,416489290873128;1;1;1;1;1;1;1;1;1;1;1;4;4. Presentations in which clinical issues are discussed in a case presentation format by specialists and allowing for the opportunity for comments and questions.
-0,501685918934671;0,67369308468973;4;4;4;4;4;4;4;4;4;4;4;5;5. Cover areas from this organization's strategic plan.
0,106484223221242;0,582668047623446;2;2;2;2;2;2;2;2;2;2;2;6;"6. Present speakers and ideas that are ""out of the box"" such as the recent one about the beauty of patients with chronic medical problems."
-1,17626661937067;0,078426555058622;5;5;5;5;5;5;5;5;5;5;5;7;7. Provide an opportunity for presentations by visiting faculty who are national experts.
0,399714032967867;0,436292730335362;6;6;6;6;6;6;6;6;2;2;2;8;"8. Present a blend of both ""bench research"" with clinical outcomes"
-0,0281789044967624;-0,709553710041215;7;7;7;7;7;7;7;1;1;1;1;9;9. Generate more probing discussions during the question and answer sessions.
-0,490406537634579;0,605976340193298;4;4;4;4;4;4;4;4;4;4;4;10;10. Show-off the current ways in which this organizationputs itself on the map, such as clinical outcomes being improved in different divisions and survival rates improved due to protocols developed here.
0,107770948066715;-0,357078603371829;1;1;1;1;1;1;1;1;1;1;1;11;11. Provide an alternative format that includes dissemination of information of interest to the general clinician such as the infectious agents are currently being detected which could then be followed by a brief presentation.
-0,320031103017144;0,664346854413166;4;4;4;4;4;4;4;4;4;4;4;12;12. Focus on those topics in which this organization is the leader and is on the bleeding edge of change.
0,635936630072752;0,4017891814169;8;8;8;8;8;6;6;6;2;2;2;13;13. Present topics that could be adopted and put into practice
-0,3882365006343;-0,727288947856287;9;9;7;7;7;7;7;1;1;1;1;14;14. Be accessible via internet in real time
-0,131078617138241;-0,728615658074749;7;7;7;7;7;7;7;1;1;1;1;15;15. Engage the audience, be interactive.
-0,119946310094281;0,0673890634909617;10;10;9;9;9;8;8;7;6;6;4;16;16. Provide avenues for all providers to help out in our own community as well as worldwide.
-1,17626661937066;0,0784265550586032;5;5;5;5;5;5;5;5;5;5;5;17;17. Have national speakers
-0,388236500634302;-0,72728894785629;9;9;7;7;7;7;7;1;1;1;1;18;18. Be accessible to a large audience in person and through archived video, video conferencing.
-0,202994748083655;-0,235787171147078;11;11;10;10;10;9;9;8;7;6;4;19;19. Must have planning so that a 2-3 year cycle would cover all of the areas/systems as a source for re-certification.
0,704253551962022;-0,229261452920713;3;3;3;3;3;3;3;3;3;3;3;20;20. Be a mix of topics that includes both primary and specialty care
-1,05190441752903;0,0151164599204172;5;5;5;5;5;5;5;5;5;5;5;21;21. Invite individuals from national organizations to speak on policy issues
-0,0621914282454426;-0,181785914737345;11;11;10;10;10;9;9;8;7;6;4;22;22. Build on a theme each month.
-0,199826966651432;-0,529708068262015;9;9;7;7;7;7;7;1;1;1;1;23;"23. Be welcoming; this is a good meeting place for all clinicians."
0,525165927479486;0,489969570301155;8;8;8;8;8;6;6;6;2;2;2;24;24. Present the latest progress in disease management
0,33121506977467;0,347406210914103;6;6;6;6;6;6;6;6;2;2;2;25;25. Provide extensive psychological training for community and faculty due to tremendous increase in mental illness.
0,274609142834339;0,298843894998879;6;6;6;6;6;6;6;6;2;2;2;26;26. Be a source of training clinicians in areas where there is more patient demand and fewer practitioners.
-0,0599510535464589;0,230727727512534;10;10;9;9;9;8;8;7;6;6;4;27;27. Be evidence-based
-0,41018179782619;0,629230422452566;4;4;4;4;4;4;4;4;4;4;4;28;28.  Present topics that align with and relate to the Strategic Plan.
-1,17626661937066;0,0784265550586103;5;5;5;5;5;5;5;5;5;5;5;29;29. Invite national and international experts to enhance our local knowledge and traditions.
0,678875183294141;0,223435423388812;8;8;8;8;8;6;6;6;2;2;2;30;30. Highlight research that most providers/clinicians can directly apply to their practice
0,408960661621281;-0,260956242436198;12;12;11;11;3;3;3;3;3;3;3;31;31. Maintain contact with the clinician community that supports this  organization by presenting topics important to that group
-0,997575855380462;-0,0344369760438584;5;5;5;5;5;5;5;5;5;5;5;32;32. Include international speakers to provide insights into disease and disease management in other countries.
0,55031647211321;-0,456334352844444;12;12;11;11;3;3;3;3;3;3;3;33;33. Cover topics that are interesting to a diverse professional audience.
0,686659265942667;0,397599900946185;8;8;8;8;8;6;6;6;2;2;2;34;34. Provide current, state-of-the-art knowledge about key disorders and practice.
0,659073839129604;0,171913465832514;8;8;8;8;8;6;6;6;2;2;2;35;35. Provide current and practical information that can change practice
-0,255515106251236;-0,749116128105021;7;7;7;7;7;7;7;1;1;1;1;36;36. Consider changing the time to make it easier for providers/clinicians to attend.
0,752626623996362;0,130710689102694;8;8;8;8;8;6;6;6;2;2;2;37;37. Impart useful practical information that is relevant to practice
0,227101752949137;0,0527029944294991;13;13;12;12;11;10;8;7;6;6;4;38;38. Include historical information as well as the most up-to-date information on the topic
0,135307265979077;0,285366698322804;10;10;9;9;9;8;8;7;6;6;4;39;39. Go beyond just clinical care and include whole scope of topics, such as health care reform, liability, ethics, etc.
0,165150011612186;-0,444528288768392;1;1;1;1;1;1;1;1;1;1;1;40;40. Influence clinicians to consider some sort of change in the way they practice.
-0,00442939507926532;-0,496960523461462;1;1;1;1;1;1;1;1;1;1;1;41;41. Divide the program so that one portion is geared for subspecialties, and one is geared towards general clinician and community clinician needs.
-0,291842635032052;0,143998792725591;14;14;13;10;10;9;9;8;7;6;4;42;42. Make the audience aware of the world community and the global care of patients.
0,603517364808766;-0,227317101400767;3;3;3;3;3;3;3;3;3;3;3;43;43. Present multidisciplinary and multicultural points of view
-0,528745206598811;0,484025076396772;4;4;4;4;4;4;4;4;4;4;4;44;44. Highlight large organization wide initiatives
-0,188344576971129;-0,728678719000716;7;7;7;7;7;7;7;1;1;1;1;45;45. Be in a format that appeals to younger participants
-0,160653846537458;0,245911086359163;10;10;9;9;9;8;8;7;6;6;4;46;46. Insist on evidence based presentations that are fully referenced and cite the level of evidence.
0,669702223845819;0,317335565918977;8;8;8;8;8;6;6;6;2;2;2;47;47. Cover clinical guidelines
-0,168882125996804;0,613353040949636;4;4;4;4;4;4;4;4;4;4;4;48;48. Present cutting edge clinical programs available at this organization
0,635657279850781;-0,0616590669534886;3;3;3;3;3;3;3;3;3;3;3;49;49. Cover comprehensive reviews of  clinical  topics with high impact
-0,507685818881971;0,102394482176476;14;14;13;10;10;9;9;8;7;6;4;50;50. Show examples of people working in locations around the world making a difference
0,752135516788682;0,368547899923035;8;8;8;8;8;6;6;6;2;2;2;51;51. Provide up to date information on critical primary care topics.
0,47076191562591;0,706024767718072;2;2;2;2;2;2;2;2;2;2;2;52;52. Discuss new approaches and therapies.
-0,322603549543678;-0,0624956629664893;14;14;13;10;10;9;9;8;7;6;4;53;53. Show people working to make a difference in our inner city communities and working as patient advocates
0,388074546986751;0,752593445755074;2;2;2;2;2;2;2;2;2;2;2;54;54. Highlight state-of-the art and innovative practice
-0,516333670770288;-0,227633592816017;15;14;13;10;10;9;9;8;7;6;4;55;55. Include presentations by residents 1 or 2 times each year.
-0,338920214740883;-0,414223260071328;9;9;7;7;7;7;7;1;1;1;1;56;56. Create programs that can be used for credits needed for licensure and maintenance of certification
0,469985425362159;-0,362747147999432;12;12;11;11;3;3;3;3;3;3;3;57;57. Involve a topic that is applicable to a significant percentage of clinicians at this organization.
0,539297485913467;-0,0320314898368455;3;3;3;3;3;3;3;3;3;3;3;58;"58. Provide the primary care clinician in the trenches with information that is useful ""in the trenches"", for example, we don't necessarily need to know how surgeries are done, but when to refer to the specialist for a specific condition."
-1,11784082886589;0,0892500775271419;5;5;5;5;5;5;5;5;5;5;5;59;59. Bring in national and international leaders in health care for presentations
-0,039796707446793;-0,77717828779945;7;7;7;7;7;7;7;1;1;1;1;60;"60. Include more attention to adult learning methods; fewer lectures and more interaction."
-0,472798692956652;0,490081734689913;4;4;4;4;4;4;4;4;4;4;4;61;61. Highlight our publications. 
-1,00421277572464;0,142611146544339;5;5;5;5;5;5;5;5;5;5;5;62;62. Feature speakers who are recognized as the leaders or 'rising stars' in their respective fields.
-1,17626661937067;0,078426555058608;5;5;5;5;5;5;5;5;5;5;5;63;63. Include invited speakers from other institutions
-1,12968324810827;0,051607417915248;5;5;5;5;5;5;5;5;5;5;5;64;64. Have world-renowned experts present their research and innovations in their fields.
0,127023402624101;-0,0932718693328089;13;13;12;12;11;10;8;7;6;6;4;65;65. Reflect the multidimensional aspects of health care with topics covering a wide range of disciplines and domains
0,351265274929262;-0,464808301436137;12;12;11;11;3;3;3;3;3;3;3;66;66. Be useful for a variety of levels of care providers
0,683900820907318;-0,383309859251428;12;12;11;11;3;3;3;3;3;3;3;67;67. Have a mix of presentations which are relevant to subspecialty and general clinical practitioners.
0,240636960140024;0,632254313303911;2;2;2;2;2;2;2;2;2;2;2;68;68. Tackle controversial subjects in the field of healthcare
0,591472864748391;-0,411201364944376;12;12;11;11;3;3;3;3;3;3;3;69;69. Be a mix of clinical, academic, and research topics
-0,183732570877491;-0,104568402116216;11;11;10;10;10;9;9;8;7;6;4;70;"70. Be inspirational and remind us why we are here; get us excited about the discoveries we make here and the progress we are achieving."
0,206584204010906;-0,210304352841009;13;13;12;12;11;10;8;7;6;6;4;71;71. Feature topics by ancillary services like audiology, the feeding team, rehabilitation services, etc.
0,240636960140019;0,632254313303918;2;2;2;2;2;2;2;2;2;2;2;72;72. Embrace controversial and thought provoking topics in an informative way,
0,726339200547985;-0,139310969674843;3;3;3;3;3;3;3;3;3;3;3;73;73. Cover a wide range of topics that are pertinent to the practicing general clinician.
0,199389874587413;0,158142279611121;13;13;12;12;11;10;8;7;6;6;4;74;74.  Present topics that enable the clinicians to survive in a changing healthcare landscape.
0,318571973676645;-0,671505704119673;1;1;1;1;1;1;1;1;1;1;1;75;75. Provide content that is relevant and of interest to clinical staff at all levels of training
-0,722962264289261;-0,147251054940107;15;14;13;10;10;9;9;8;7;6;4;76;76. Provide experienced and dynamic speakers who will engage the audience and effectively convey the information they are presenting.
0,1342564759539;0,471698713070792;2;2;2;2;2;2;2;2;2;2;2;77;77. Include more early phase and translational research studies.
0,0167198756825311;0,34594710549188;10;10;9;9;9;8;8;7;6;6;4;78;78. Highlight multi-disciplinary research
-0,322123624715735;0,541271605943497;4;4;4;4;4;4;4;4;4;4;4;79;79. Present new concepts and new physicians at this organizations
0,463357553628178;0,185792353205734;6;6;6;6;6;6;6;6;2;2;2;80;80. Present clinical and/or scientific content, not touchy-feely social issues or politically correct topics
0,404696791908451;0,650180279390679;2;2;2;2;2;2;2;2;2;2;2;81;81. Present new information that is not widely known among clinicians in this organization.
0,0554529721936636;-0,64303909386018;1;1;1;1;1;1;1;1;1;1;1;82;82. Engage and challenge the audience to expand their thinking.
0,0160241873018332;0,073483091924838;10;10;9;9;9;8;8;7;6;6;4;83;83. Provide clinicians with an understanding of what the patients and families experience such as what is involved with a sleep study, with a pH probe, day to day care of a patient with a trach or g-tube, and so on.
0,351399003103796;-0,622788992781572;1;1;1;1;1;1;1;1;1;1;1;84;84. Present relevant topics in a way all levels, from trainees to experienced practitioners benefit from the educational experience.
0,572355430230937;0,574946395690061;8;8;8;8;8;6;6;6;2;2;2;85;85. Present state of the art clinical care - new findings, great projects demonstrating outcomes and important psychosocial / professional issues.
0,30889059882511;-0,0185643667261776;13;13;12;12;11;10;8;7;6;6;4;86;"86. Be free from political and/or organizational agendas or what senior management has determined to be the latest catch phrase, trend, or ""in"" thing."
0,177792032576296;-0,580714803387385;1;1;1;1;1;1;1;1;1;1;1;87;87. Stimulate the audience to make changes in their practice, for instance a recent grand rounds helped me to see that my usual cheery entrance into an exam room may threaten a sensitive patient
-0,401036658062813;-0,648939959526021;9;9;7;7;7;7;7;1;1;1;1;88;88. Be accessible in offices
0,122451360329607;-0,167788087099621;13;13;12;12;11;10;8;7;6;6;4;89;89. Cover topics that call for community and multidisciplinary involvement
-0,404479024414734;-0,240740103152402;15;14;13;10;10;9;9;8;7;6;4;90;90. Identify colleagues involved in similar issue, practices, and projects.